epoch,train_loss,val_loss,precision,recall,map50,mAOE_deg,lr_bb,lr_hd,best_map
6,2.182123,0.000000,0.510417,0.731343,0.453540,2.283634,1.999315e-04,9.993833e-04,0.453540
7,1.262917,0.000000,0.619048,0.970149,0.733567,3.816375,1.997261e-04,9.975349e-04,0.733567
